00000000004_0025819_0026242	and then the prophets recorded their history and their prophecies.
00000002951_0513041_0513702	yes, she is very like what i was. of course, i shall let her keep the doll.
00000002951_0520473_0521556	the angel regarded her with beaming eyes. after some time, he said quietly, now let us see what became of your last experiment.
00000002951_0522908_0524047	yet more may have happened than you guessed, replied the angel meaningly. i have tried to show you how often that is the case. look again.
00000002951_0543023_0544173	greatly sobered by his fear. he staggered down the block and around the corner to the steps of miss terry's house. this is the place he mused.
00000002951_0567948_0568842	law. miss, she said, have you burned them all up? but him? i'm glad you saved him. he's so pretty.
00000002951_0570415_0571527	it isn't that, answered miss terry, drawing her hand across her forehead dazedly. i did not mind your absence. but i thought it must be later.
00000002951_0571527_0572266	oh no, i wouldn't stay out any later. when you was alone here, miss said norah penitently.
00000002951_0578480_0578753	norah said miss terry.
00000002951_0583588_0585294	it caught the attention of many home goers who said smiling, how simple, how pretty, how quaint. it is a type of the christmas spirit which is abroad to night. you can feel it everywhere blessing the city.
00000002951_0587752_0588159	the same as ever. he said to himself.
00000002951_0588159_0588489	i might have known she would never change.
00000002951_0605824_0607545	presently the library door opened, and a figure strode in, a tall, broad shouldered man in a fur overcoat. for a moment, he stood just inside the door, hesitating. miss terry took two steps forward from the fire place.
00000002951_0612090_0612946	he angelina girl who he smoothed her silver hair with rough kind fingers.
00000002951_0612946_0614381	why the christmas angel, our guardian angel tom all these years, i kept him in the play box. and i was going to burn him up. but i couldn't do it. tom, how wonderful it is.
00000002951_0615978_0616482	this is my brother tom norah who has come back. she said.
00000002951_0620126_0620761	a guest exclaimed tom and miss terry told him about mary.
00000002951_0636754_0638746	tom looked confused. how indeed did he know? but miss angelina, with a readiness that surprised herself, came to his rescue. we were talking of a little girl named mary, she said, and you look just like her. what did you come for, dear?
00000002951_0644938_0646559	i was a wicked girl. i meant to keep miranda for myself, because i thought she would be a lovely big doll. and when i found she was old and homely, somehow i still wanted to keep her. but it was stealing and i couldn't.
00000002951_0652108_0653815	mary's eyes still dwelt upon miss terry with a puzzled look. this gray haired angelina was so different from the one she had pictured. she did not answer the question. miss terry drew the child to a chair beside her.
00000002951_0661350_0662232	we are going to have a christmas celebration. and we need you for a guest. will you stay? you and miranda.
00000002951_0665640_0666239	yes, we mean it, she said, and her voice was almost sweet.
00000002951_0670360_0670876	i will fix uncle and aunt, said tom, going for his coat.
00000002951_0670876_0671965	leave them to me. i know an argument that settles uncles and aunts of that sort. you need not go back to their house. i promise you, mary, my dear.
00000002951_0673529_0673876	come with me, mary. she said.
00000002951_0678436_0679198	when we were children, tom and i, we hung him on our christmas tree, went on miss terry.
00000002951_0683425_0684228	tom came and put his great furry coat sleeves about them both. and uncle tom, he said.
00000002951_0684228_0685848	dear uncle tom whispered the child shyly. there were tears in the eyes of all three. now we shall live happy ever after, said tom, and the christmas angel beamed upon them.
00000002961_0240498_0241914	so they have a tendency to make things more simple, so as to be able to understand them better or to understand them quicker. so when people are exposed to large sets of information, they have a tendency to.
00000002962_0078550_0078782	so perhaps india is producing more.
00000002962_0127327_0127527	heating requirements are more.
00000002968_0174379_0175114	but being told that this is the new normal. this has got to be rejected out of hand. there are steps that need to be taken.
00000002968_0181078_0181674	the win win cooperation. and the future has got to guide our actions in the present.
00000002976_0005405_0005943	as abigail robertson reports, the ruling will have a nationwide impact.
00000002977_0062920_0063390	is the most unsafe thing to a woman. when a woman gets angry, we don't like.
00000002977_0087575_0089278	but then be the man physiologically that you are to be, or the woman physiologically that you're to be. that seems like a nuance to play there. so allowing yourself the permission then allows you to, kind of, stand strong in your archetype. i just wanna understand this fully.
00000002977_0197745_0198193	i have a moment where i go. oh my gosh, i should get there on time. i forgot.
00000002977_0237935_0239017	never wanna suppress. you wanna witness, okay, what's going on inside of myself? what am i saying to myself? how am i blaming her? how am i feeling like a victim? notice what's going on inside yourself.
00000002982_0015428_0016889	so he set down again and went to watching same as before. jim said it made him all over trembly and feverish to be so close to freedom. well, i can tell you it made me all over trembly and feverish too.
00000002982_0238977_0239357	there was beautiful curtains on the windows, white.
00000002982_0246840_0247087	and pap. he always said it too.
00000002982_0298515_0298902	but he don't mind it, cuz he don't weigh much anyway.
00000002982_0380104_0380534	then the men see them and jumped on their horses and took out after them.
00000002982_0473963_0474437	what got you into trouble? says the baldhead to t'other chap.
00000002982_0546603_0547334	pa. he lowed. he'd break up and go down and live with uncle ben, who's got a little one horse place on the river.
00000002982_0596353_0596869	juliet's in a balcony, enjoying the moonlight before she goes to bed.
00000002982_0620217_0620758	then the preacher begun to preach and begun in earnest too, and went weaving.
00000002982_0621294_0621640	front of it with his arms and his body going all the time.
00000002982_0662711_0663778	to travel on a steamboat. so we got this little raft on credit from our friends and are going down to get the reward. handcuffs and chains would look still better on jim.
00000002983_0189507_0189788	and another tip for everyone if you.
00000002983_0271405_0271769	and monetary tips. they can buy you a beer.
00000002989_0005658_0006844	a writer for whom the past is a living breathing muse whispering over his shoulder as he scribbles the names of ancestors who once pulled the oars to get us through troubled waters.
00000002991_0127841_0128242	couple things that i finally worked out as far.
00000002992_0007954_0009537	my porn addiction. i remember being single when i was about twenty five years old, getting up first thing in the morning, turning on the laptop, firing up the free porn, and thinking, you know what, this might be a problem someday. but for today, hey, why not.
00000002992_0017617_0018042	let's have a little fun. all right, now put everything away and act like it never happened.
00000002992_0024050_0025249	when you are then in the chance to actually have some real sex with your wife. do you want to be remembering that porn you watched and feeling horrible about it? no, i really don't want to be doing that.
00000002992_0165547_0166538	any drugs. this is my normal state of being now. that's what's cool. that's what's cool about it. this is how i normally am. i'm trying to move my.
00000002994_0033905_0034655	see over different regions of land or buildings or churches or prisons or neighborhoods or.
00000002997_0024236_0024626	i know you are mobile first kind of guy. carlos.
00000002997_0033708_0035655	or you can create a new one. before we create a new one, let's just take a look at editing a playlist. for example, i have this playlist which is for mobile live streaming apps and tutorials. so let's just go in here and see some of the things that we can do here.
00000002997_0071654_0073559	okay, more talking about youtube. and then i decided to change the layout. instead of going up and down, i'm going horizontally across. so there's another playlist. then there's the best of this way. i know i'm covering everyone. then there's a social media.
00000002997_0098251_0099028	superhuman. you, okay? so let's just take a look at how he's laid out those playlists.
00000002997_0107950_0109022	video. and then you'll see what i'm about. but people will never make it that far. you gotta let them know right up front. and those titles and those playlists on your.
00000002997_0147329_0148164	i would think that for most of us watching based on the content that i know most of you guys create. you want to have.
00000002997_0234612_0234780	because i keep making play.
00000002997_0235516_0236439	and this is what community is all about. thank you guys so very much for joining and speaking of communities.
00000002999_0067142_0068088	and they would be well steeped in the classics. and they did love them passionately. they would buy and read them cicero roman histories.
00000003006_0061009_0061612	and they shocked him out of that. and the third time he arrested one more time. and they shocked him out of that.
00000003006_0063282_0063625	came. i saw my father come to visit me.
00000003006_0092374_0093574	and the lung scan showed multiple blood clots, life threatening blood clots or lungs. well, thank goodness we found that because we were able to enter, coagulate her then and basically save her, save her life.
00000003006_0147072_0147960	so i'll have patients that i've seen for twenty or thirty years. i know their kids. i know their grandparents and their parents. and i know the whole family.
00000003006_0231889_0233551	this is a story about a young doctor that was in training. and his father was a doctor. and his father said to him, you know, when you graduate, you'll have, you'll have some experiences, and that'll make you a real doctor.
00000003006_0255660_0256980	and joan and her grandmother, grandma helen became very, very close, incredibly close. and they loved each other. and joan used to say if i could make it to grandma hamlin's lap, if i was in trouble, i know i'd be safe.
00000003009_0256453_0256785	focus on training school nurses to help them to be able to.
00000003010_0040423_0041001	the likelihood of finding a food coloring molecule. there is approximately equal.
00000003014_0012949_0013739	between trains with armour clad carriages flung at full speed against one another and opening fire on every side.
00000003014_0031415_0032417	short sightedness alone continued its lamentable progress, being stimulated by the extraordinary spread of journalism.
00000003014_0042660_0043833	all contemporary documents agree in bearing witness to the rapidity, the depth and the universality of the change which took place in the customs ideas and.
00000003014_0138477_0138904	were pre eminently distinguished by the commonness of their bearing.
00000003014_0158981_0160551	on the re discovered site of the hanging gardens he caused to be erected at the expense of the state. a statue of louis philippe in wrought aluminium in the middle of a public garden planted with common laurels and cauliflowers.
00000003014_0183332_0183687	and he himself well nigh unrecognisable.
00000003014_0192511_0193566	the entire population of norway, northern russia and siberia perished frozen to death in a single night. the temperate zone was decimated.
00000003014_0205999_0207365	from all the valleys in the alps or pyrenees that were lately green and peopled with delightful health resorts. there issued these snowy hordes, these streams of icy lava.
00000003014_0221602_0222289	what calamities, what horrors? my pen confesses its impotence to retrace them.
00000003014_0302963_0303652	you desire it. you promise me to listen to the end to my absurd and extravagant project.
00000003014_0365359_0365847	even should they multiply unduly in despite of malthus.
00000003014_0366959_0368419	still further objections were formulated from different quarters. they were forcibly disposed of with the same irresistible easy assurance. the conclusion is worthy of a verbatim quotation.
00000003014_0385824_0387103	innumerable races of mankind under ground, buried to their supreme joy in the catacombs of invisible stars, encourage us by their example.
00000003014_0393146_0394152	and by reason of this picturesque but incongruous cargo of creatures mutually harmful and seeking one and all to devour each other.
00000003014_0402465_0403381	we shall establish a vast library containing all the principal works enriched with cinematographic albums.
00000003014_0408975_0410524	it is well to recall to the younger generation these resolute words between the lines of which they will read the gratitude they owe to the heroic scarred face who so nearly died with the reputation of a mono mania.
00000003014_0436395_0437746	they sacrificed themselves to the unknown, to that which is not yet to the posterity towards which were turned all the desires of their electrified spirits as a.
00000003014_0448666_0449843	a young poet on the brink of the pit that yawned to swallow them up, repeated in the musical language of euripides, the farewell to the light of the dying iphigenia.
00000003014_0495449_0497377	when one of their snow covered deposits of carcasses threatened to give out, they used to make several trial borings, drive several shafts in an upward direction. they never failed presently to meet with rich finds of food reserves extensive enough to close the mouths of the alarmists.
00000003014_0519119_0519685	the most colossal one had hitherto seen that dimly resembled a hindoo temple.
00000003014_0524922_0525761	for from lack of paper, we are obliged to write on slates, on pillars, obelisks, on the broad panels of marble.
00000003014_0608789_0610541	the ancient social ideal was to seek amusement or self satisfaction apart, and to render mutual service. for this, we substitute the following, to be one's own servant and mutually to delight one another.
00000003014_0749589_0750576	or rather be it said without vanity. it is we who discovered and introduced it. its name has preceded it by a good many centuries.
00000003014_0751247_0751541	it has revealed itself in our day.
00000003014_0777152_0778868	adam. none the less, the inelastic limits of our food supplies have made it a duty for us rigorously to guard against a possible excess in our population, which has reached to day fifty millions, a figure. it can never exceed without danger.
00000003014_0902041_0902763	philosophers themselves avoid touching on it as on all which is fundamental in our institutions.
00000003014_0938934_0939652	i have related what has become of our architecture, which has been turned outside in, so to say.
00000003014_0946584_0947859	similarly, they have never painted or sculptured so many draperies, since everyone goes about almost naked, while formerly at the time when humanity wore clothes, the nude abounded in art.
00000003015_0092199_0092386	these are for two omega.
00000003015_0122245_0122848	just write the cosine in terms of sine. simplify this equation. and there is a specific angle at which.
00000003015_0199463_0199644	again, there is no transfer of energy.
00000003020_0010964_0012353	the methods of thought and action prescribed have been tested by the author in his own case and in the case of hundreds of others during twelve years of practice with continuous and unfailing success.
00000003020_0019893_0021275	letters to a woman's husband and the constructive use of foods booklets by w d wattles, which may be obtained from the publishers of this book.
00000003020_0039557_0040735	the allopath who gives a strong dose of a counter poison cures his patient. and the homeopath who gives a diminutive dose of the poison most similar to that of the disease, also cures it.
00000003020_0052438_0054068	it is said that in the middle ages, the bones of a saint kept in one of the monasteries were working miracles of healing. on certain days, a great crowd of the afflicted gathered to touch the relics, and all who did so were healed.
00000003020_0068424_0069631	the way a man thinks about things is determined by what he believes about them. his thoughts are determined by his faith, and the results depend upon his making a personal application of his faith.
00000003020_0097486_0098549	for the action of the principle of health is largely directed by man's conscious thought affecting his sub conscious mind.
00000003020_0196440_0197119	you are to receive or appropriate health rather than to reject and deny disease.
00000003020_0197119_0197655	denying disease accomplishes next to nothing. it does.
00000003020_0201725_0202278	this is not so easy as it sounds. it necessitates.
00000003020_0251591_0252128	hold this thought with perfect faith that it is the fact, the truth.
00000003020_0276168_0277923	you will see that such a thought could not cause the substance to move or take form. keep in mind the fact that only those thoughts which are conceived in faith have creative energy. only those thoughts which have faith with them are able to change function or to quicken the principle of health into activity.
00000003020_0279514_0280481	you will have faith in disease. and if under such conditions, you think about health for ten hours a day, and think about disease for only a few minutes.
00000003020_0311449_0313216	there shall be no room in your mind for a thought of ill. every thought connected in any way with ill health is unwelcome. and you can close the door of your mind in its face by asserting that you are well, and by reverently thanking god that it is so soon. the old thoughts will return no more.
00000003020_0362731_0363305	power, joy vitality and youth. when you are confronted with a book.
00000003020_0395936_0396340	for that of his intellect or for that of his soul.
00000003020_0408900_0409760	but wisdom is not all. you may receive from the supreme intelligence. you may receive physical energy, vitality, life force.
00000003020_0488254_0489469	you cannot hunger for tea, coffee, spiced foods, or for the various taste tempting devices of the skilled cook. if you desire these things, it is with appetite, not with hunger.
00000003020_0491628_0493487	the desire comes regularly at the same hour. but this habitual desire for food should never be mistaken for hunger. hunger does not appear at specified times. it only comes when work or exercise has destroyed sufficient tissue to make the taking in of new raw material a necessity.
00000003020_0531253_0532794	or vegetables, even if they were disposed to eat them, and they could not live on them in that climate if they could get them. so notwithstanding the arguments of the vegetarians, the esquimaux will continue to live on animal fats.
00000003020_0565320_0565985	that is the only way to do. if you are to think no thoughts but those of health for you cannot think health.
00000003020_0576520_0577537	in other words, eat what you want. this you can do with perfect results if you eat in the right way. and how to do this will be explained in the next.
00000003020_0596941_0598818	do not allow your eyes to wander over the table speculating as to what you shall eat next. do not worry for fear there is not enough and that you will not get your share of everything. do not anticipate the taste of the next thing. keep your mind centered on the taste of what you have in your mouth.
00000003020_0620591_0621498	that whenever food is needed in the system, if there is power to digest it, the sub conscious mind announces the need by the sensation of hunger.
00000003020_0634173_0635197	and if eating is successfully done, digestion assimilation and the building of a healthy body are successfully begun.
00000003020_0635774_0636236	end of chapter eleven.
00000003020_0714846_0715756	they will be. do not seek for luxuries or for things imported or fixed up to tempt the taste. stick to the plain solids.
00000003020_0724671_0725587	the foregoing instructions, if followed, make the function of eating completely perfect. nothing can be added as to what, when, and how.
00000003020_0791872_0793175	much more air is inspired when asleep than when awake. and this tells us that the principle of health requires large quantities of some element in the atmosphere for the process of renewal.
00000003020_0814867_0815281	if you have insomnia, do not let it worry you.
00000003020_0828625_0829610	act and attitude guard your speech. make every word harmonize with the conception of perfect health. never complain.
00000003020_0836537_0837417	this book really gives you all that is required. nothing essential has been omitted, and practically all the superfluous has been eliminated.
00000003020_0897721_0899500	while the vapor is also living water unformed permeating a form made from itself. this illustration will explain how living substance permeates all forms made from it. all life comes from it. it is all the life there is.
00000003020_0902434_0903045	the power of the living substance must always be exerted toward perfect health. it is a.
00000003026_0010090_0010972	day. you know, i can remember walking in to the art school for the very first time, and the smell of oil paint. and that smell to this day.
00000003026_0064864_0065375	are ones that not only have a depth and character to them, but they talk to the p.
00000003026_0072952_0073715	well, it was a brilliant moment in life. i mean, what happened was charlie left. we worked for about a year.
00000003026_0185184_0185869	captures see, and don't worry, be daring, be different. because, you know, i think the danger.
00000003027_0026242_0027842	the most edifying book tour i can think of is the long series of nests that over the years i have built for the silent performances of my task as i sit in this kind of crow's nest that i've set up in the berkeley hills.
00000003027_0086321_0087135	you need a little studio, you need a workbench. as it turned out, i found a xerox of a design.
00000003027_0102992_0103679	table. and at a dining table, i drew the line. my design talents did not extend to the gracious and the festive.
00000003027_0134695_0136482	removing old varnish, sanding, applying red oak, finish, sanding again, finishing, sanding, finishing. i completed the restoration. no boredom in that job. often at work, i was suffused with a quiet joy.
00000003027_0137637_0138351	to design, because you're restoring the design of something that was past. you're bringing back the past.
00000003027_0252183_0252709	but it's a kind of unconscious instantaneous design that we do.
00000003027_0253104_0253815	give you a couple of examples of design in memories. and one example is from.
00000003027_0328835_0329361	as it turned out after the crashes, there was only one open escape route.
00000003029_0203274_0203548	i am yahweh, the god of all.
00000003029_0337736_0339522	all right, next question is from one of our viewers who says i've accepted jesus into my heart. but since then, my life has actually gotten worse, not better. i came down with a mysterious virus that almost killed me. i lost my job and then my home. oh my lord, how could these things be happening to me?
00000003032_0003362_0003535	the adler aphasia center.
00000003034_0007924_0008965	she had a wonderful mirror. and when she stood in front of it and looked in it, and said mirror, mirror on the wall. who is the fairest of us all.
00000003034_0090685_0091967	as they gingerly explored each corner of the cottage, the littlest one found his way up to the bedroom. he bolted out, barely able to contain himself, and waved frantically to the rest of them. come here, come.
00000003035_0057604_0057790	when y is equal to zero.
00000003035_0104732_0104957	and then the second part of the course.
00000003042_0000924_0002136	so what i have going on? here is my weekly digest of the news from the previous week, as well as my long and my short. so if you don't recall.
00000003042_0003497_0004242	so again, if you have comments, questions, please leave them in there. you also have super chat enabled if anyone feels.
00000003042_0004242_0004892	very generous today or wants to get their question bumped up. i also have some questions that you guys submitted.
00000003042_0021988_0023138	so that's first. next is my short. so this is the thing i am not excited about. and i'm just gonna keep checking in on the chat to make sure it's still sounding good.
00000003042_0026464_0027285	here's the summary of it. california state legislature passed a recent increase in gas taxes.
00000003046_0222346_0222591	that time i was where i am standing now.
00000003048_0141916_0142891	the third trait which we study is social character. so we have social character here reflects the degree to which a consumer relies on his self.
00000003048_0186455_0186748	now such consumers basically are innovative.
00000003048_0236454_0237038	in order to create awareness or in order to talk about product features, attributes and benefits.
00000003053_0027328_0028002	and towards the vacant chair upon which a newcomer must sit. come in, said he.
00000003053_0051263_0052967	he had made a very considerable fortune in the states. and his reason for leaving them was his aversion to the negroes and his dislike of the republican policy in extending the franchise to them. he was a singular man, fierce and quick tempered, very.
00000003053_0069775_0071676	the letter k three times repeated. there was nothing else save the five dried pips. what could be the reason of his overpowering terror? i left the breakfast table, and as i ascended the stair, i met him coming down with an old rusty key which must have belonged to the attic.
00000003053_0099625_0101066	some of them were of the war time and showed that he had done his duty well and had borne the repute of a brave soldier. others were of a date during the reconstruction of the southern states, and were mostly concerned with politics.
00000003053_0253080_0254682	sherlock holmes had not come back yet. it was nearly ten o'clock before he entered, looking pale and worn. he walked up to the sideboard, and tearing a piece from the loaf. he devoured it voraciously, washing it down with a long draught of water.
00000003055_0000582_0000787	recording by linda dodge.
00000003055_0023467_0024042	kolin maintained a standard expression as the chief's sharp stare measured them.
00000003055_0032011_0032194	several hundred meters away.
00000003055_0043702_0044010	he ran back to the cook and shook him by the shoulder.
00000003055_0058683_0058954	depends on what you're looking for, sonny.
00000003055_0122052_0122285	a hail from his master moved him.
00000003055_0122357_0122534	coming chief. he called.
00000003055_0131149_0131315	he surveyed the field.
00000003061_0047630_0047981	commune with the ascended masters daily.
00000003061_0130751_0131179	and the vision that you have co created with us.
00000003062_0129758_0130098	my god muttered lance. he's been shot down.
00000003062_0406531_0407652	carry on, he muttered, carry on. the words froze on his lips, for the world was suddenly consumed. it seemed by flame and splitting bellowing thunder.
00000003067_0250116_0250375	make the clock cycle in a way.
00000003069_0228575_0229050	the row i want here is up top. so i'll take one of that.
00000003076_0150428_0150680	florida. that is the most populous city in florida.
00000003083_0004308_0005779	any person of either sex who is willing at least for the time being to engage in any respectable occupation that offers may find lucrative employment. those who really desire to attain an ind.
00000003083_0005779_0007053	have only to set their minds upon it, and adopt the proper means as they do in regard to any other object which they wish to accomplish. and the thing is easily done.
00000003083_0007053_0007808	however easy it may be found to make money. i have no doubt many of my hearers will agree. it is the most.
00000003083_0007808_0009025	thing in the world to keep it. the road to wealth is, as dr franklin truly says, as plain as the road to the mill. it consists simply in expending.
00000003083_0009025_0009696	less than we earn. that seems to be a very simple problem. mr micawber, one of those.
00000003083_0009696_0011672	creations of the genial dickens puts the case in a strong light when he says that to have annual income of twenty pounds per annum, and spend twenty pounds and sixpence is to be the most miserable of men. whereas to have an income of only twenty pounds and spend but nineteen pounds and sixpence is to be the.
00000003083_0012994_0013792	yet i beg to say that perhaps more cases of failure arise from mistakes on this point than almost any other. the.
00000003083_0017803_0019561	and doing all sorts of little mean dirty things. economy is not meanness. the misfortune is also that this class of persons let their economy apply in only one direction. they fancy they are so wonderfully economical in saving a half penny.
00000003083_0024297_0024872	but the information which might be derived from having the extra light would of course far.
00000003083_0024872_0025223	outweigh a ton of candles. but the trouble does not.
00000003083_0034669_0035755	a penny here and a dollar there placed at interest, goes on accumulating. and in this way the desired result is attained. it requires some training, perhaps.
00000003083_0036175_0037650	you will find there is more satisfaction in rational saving than in irrational spending. here is a recipe which i recommend. i have found it to work an excellent cure for extravagance and especially for mistaken economy.
00000003083_0039352_0039568	and the other headed luxuries.
00000003083_0039570_0040084	and you will find that the latter column will be double treble and frequently ten times greater than the former.
00000003083_0041279_0041549	if all the world were blind except myself. i.
00000003083_0041555_0043403	i should not care for fine clothes or furniture. it is the fear of what mrs grundy may say that keeps the noses of many worthy families to the grindstone in america. many persons like to repeat we are all free and equal. but it is a great mistake in more senses than one.
00000003083_0043403_0044447	that we are born free and equal is a glorious truth in one sense. yet we are not all born equally rich. and we never shall be.
00000003083_0044447_0046256	one may say there is a man who has an income of fifty thousand dollars per annum, while i have but one thousand dollars. i knew that fellow when he was poor like myself. now he is rich and thinks he is better than i am. i will show him that i am as good as he is. i will go and.
00000003083_0049105_0049820	add waste your time and spend your money. your poor wife will be obliged to scrub her fingers off at home and buy her tea.
00000003083_0049820_0050486	two ounces at a time, and everything else in proportion in order that you may keep up appearances.
00000003083_0050486_0050750	and after all deceive nobody.
00000003083_0050788_0052270	on the other hand, mrs smith may say that her next door neighbor married johnson for his money. and everybody says, so she has a nice one thousand dollar camel's hair shawl. and she will make smith get her an imitation one.
00000003083_0053005_0054391	my good woman, you will not get ahead in the world if your vanity and envy thus take the lead in this country where we believe the majority ought to rule. we ignore that principle in regard to.
00000003083_0054391_0055319	fashion, and let a handful of people calling themselves the aristocracy run up a false standard of perfection, and in endeavoring to rise to.
00000003083_0058978_0059386	without any thought of a reverse in this life, can never attain a.
00000003083_0063869_0064591	the pleasure to be derived from constantly adding to their little pile, as well as from all the economical.
00000003083_0064591_0066534	habits which are engendered by this course. the old suit of clothes and the old bonnet and dress will answer for another season. the croton or spring water taste better than champagne. a cold bath and a brisk walk will prove more exhilarating than a ride in the finest coach, a social chat.
00000003083_0066534_0068473	an evening's reading in the family circle, or an hour's play of hunt the slipper and blind man's buff will be far more pleasant than a fifty or five hundred dollar party. when the reflection on the difference in cost is indulged in by those who begin to know the pleasures of saving, thousands of men are kept poor.
00000003083_0070604_0072138	while others secure more solid enjoyment frequently on a twentieth part of that amount. prosperity is a more severe ordeal than adversity, especially sudden prosperity. easy come, easy, go is an old and true proverb.
00000003083_0075976_0076226	that sofa. he says.
00000003083_0076232_0076579	cost me thirty thousand dollars.
00000003083_0077336_0079237	carpets and tables to correspond with them, and so on through the entire stock of furniture. when at last it was found that the house itself was quite too small and old fashioned for the furniture, and a new one was built to correspond with the new purchases. thus.
00000003083_0079248_0079807	added my friend, summing up an outlay of thirty thousand dollars caused by that single sofa.
00000003083_0083133_0083491	i not checked the natural desire to cut a dash.
00000003083_0083799_0084151	that is the substratum fortune. it is also the basis of.
00000003083_0087587_0089518	and yet how many persons there are who pay no attention to natural laws, but absolutely transgress them even against their own natural inclination. we ought to know that the sin of ignorance is never winked at in regard to the violation of nature's laws. their infraction always brings the penalty.
00000003083_0090384_0091617	many of our ancestors knew very little about the principle of ventilation. they did not know much about oxygen, whatever other gin they might have been acquainted with. and consequently they built their.
00000003083_0091617_0091854	houses with little seven by nine feet.
00000003083_0092621_0093996	in the morning, they would devoutly return thanks for the preservation of their lives during the night. and nobody had better reason to be thankful. probably some big crack in the window or in the door let in a little fresh air.
00000003083_0093996_0094683	and thus saved them. many persons knowingly violate the laws of nature against their better impulses for the sake of.
00000003083_0094683_0095292	for instance, there is one thing that nothing living except a vile worm ever naturally loved. and that is to.
00000003083_0097143_0098354	juice on the carpet and floors, and sometimes even upon their wives. besides, they do not kick their wives out of doors like drunken men. but their wives, i have no doubt often wish they were outside of the.
00000003083_0102118_0104078	regret that they are not men. they would like to go to bed, boys, and wake up men. and to accomplish this, they copy the bad habits of their seniors. little tommy and johnny see their fathers or uncles smoke a pipe. and they say, if i could only do that, i would be a man too. uncle john has gone out and left his pipe of t.
00000003083_0105038_0106657	that lad dolefully replies, not very much. it tastes bitter. by and by he grows pale. but he persists. and he soon offers up a sacrifice on the altar of fashion. but the boys stick to it and persevere until at last.
00000003083_0106657_0107195	they conquer their natural appetites and become the victims of acquired tastes.
00000003083_0107217_0107837	i speak by the book, for i have noticed its effects on myself, having gone so far as to smoke ten.
00000003083_0107837_0108235	or fifteen cigars a day, although i have not used the weed during the.
00000003083_0108235_0108643	fourteen years and never shall again. the more a.
00000003083_0119266_0121094	when i consulted my physician, he said break off tobacco using. i was not only injuring my health and spending a great deal of money, but i was setting a bad example. i obeyed his counsel. no young man in the world ever looked so beautiful as he thought he did behind a fifteen cent cigar.
00000003083_0127588_0128270	thrown the system into a state of lassitude, neutralizing the energies so essential to success.
00000003083_0134469_0135451	father to say, for example, i have five boys. i will make billy a clergyman, john a lawyer, tom a doctor, and dick.
00000003083_0137149_0137483	inclinations or genius? we are.
00000003083_0137483_0138474	all no doubt born for a wise purpose. there is as much diversity in our brains as in our countenances. some are born.
00000003083_0140230_0141120	five years old. their father could find no toy to please them like a puzzle. they are natural mechanics. but the other eight or nine boys have.
00000003083_0148361_0149483	the learned blacksmith who ought to have been a teacher of languages. and you may have seen lawyers, doctors and clergymen who were better fitted by nature for the anvil or the lapstone.
00000003083_0155682_0156443	they had immense cartoons outside portraying the wonderful curiosities to be seen all for a penny.
00000003083_0156443_0157810	being a little in the show line myself. i said, let us go in here. we soon found ourselves in the presence of the illustrious showman. and he proved to be the sharpest man in that line. i had ever met.
00000003083_0158147_0160143	in reference to his bearded ladies, his albinos and his armadillos, which we could hardly believe, but thought it better to believe it than look after the proof. he finally begged to call our attention to some wax statuary, and showed us a lot of the dirtiest and filthiest wax figures imaginable.
00000003083_0165423_0166348	he replied, certainly, sir, it was taken from life at hampton court by special order of his majesty on such a day.
00000003083_0167885_0169125	why? he replied, you would be lean and lank yourself if you sat there as long as he has. there was no resisting such arguments. i said to my english friend.
00000003083_0169141_0169824	let us go out. do not tell him who i am. i show the white feather. he beats me.
00000003083_0169842_0171837	he followed us to the door, and seeing the rabble in the street, he called out, ladies and gentlemen, i beg to draw your attention to the respectable character of my visitors, pointing to us as we walked away. i called upon him a couple of days afterwards, told him who i was, and said.
00000003083_0171843_0172496	my friend. you are an excellent showman, but you have selected a bad location.
00000003083_0172519_0172809	he replied, this is true, sir.
00000003083_0173365_0174032	you can go to america. i replied, you can give full play to your faculties over there.
00000003083_0177159_0178429	the old proverb says three removes are as bad as a fire. but when a man is in the fire, it matters but little how soon or how often he removes.
00000003083_0180043_0181298	there is scarcely anything that drags a person down like debt. it is a slavish position to get in. yet we find many a young man hardly out of his teens running in debt.
00000003083_0181298_0182389	he meets a chum and says, look at this. i have got trusted for a new suit of clothes. he seems to look upon the clothes as so much given to him.
00000003083_0182389_0183511	well, it frequently is so. but if he succeeds in paying and then gets trusted again, he is adopting a habit which will keep him in poverty through life.
00000003083_0186273_0187924	the old quaker said to his farmer son john, never get trusted. but if thee gets trusted for anything, let it be for manure, because that will help thee pay it back again. mr beecher advised young men to get in debt.
00000003083_0188445_0190256	if a young man, he says will only get in debt for some land and then get married, these two things will keep him straight or nothing will. this may be safe to a limited extent. but getting in debt for what you eat and drink and wear is to be avoided.
00000003083_0190256_0191213	some families have a foolish habit of getting credit at the stores, and thus frequently purchase many things which might have been dispensed with.
00000003083_0207007_0208539	if you do, there is no chance for success in life so far as money is concerned. john randolph, the eccentric virginian once exclaimed in congress, mr speaker, i have discovered the philosopher's stone. pay as you go.
00000003083_0212375_0212694	this thing. remember when i am dead?
00000003083_0220646_0221942	i have known men personally who have met with pecuniary reverses and absolutely committed suicide. because they thought they could never overcome their misfortune.
00000003083_0222369_0223998	and have bridged them over by simple perseverance, aided by a firm belief that they were doing justly, and that providence would overcome evil with good. you will see this illustrated in any sphere of life.
